,precision,recall,f1-score,support
negative,0.9216929053363321,0.9016,0.9115357395612173,5000.0
positive,0.9036993540810335,0.9234,0.9134434662182214,5000.0
accuracy,0.9125,0.9125,0.9125,0.9125
macro avg,0.9126961297086829,0.9125,0.9124896028897194,10000.0
weighted avg,0.912696129708683,0.9125,0.9124896028897194,10000.0
